iter,start,end
0,2019-10-31 05:14:22.619976,2019-10-31 05:14:22.869915
1,2019-10-31 05:14:22.869915,2019-10-31 05:14:22.901160
2,2019-10-31 05:14:22.901160,2019-10-31 05:14:22.932401
3,2019-10-31 05:14:22.932401,2019-10-31 05:14:22.963646
4,2019-10-31 05:14:22.963646,2019-10-31 05:14:22.979267
5,2019-10-31 05:14:22.979267,2019-10-31 05:14:23.010507
6,2019-10-31 05:14:23.010507,2019-10-31 05:14:23.041750
7,2019-10-31 05:14:23.041750,2019-10-31 05:14:23.057374
8,2019-10-31 05:14:23.057374,2019-10-31 05:14:23.073031
9,2019-10-31 05:14:23.073031,2019-10-31 05:14:23.088616
10,2019-10-31 05:14:23.088616,2019-10-31 05:14:23.119857
11,2019-10-31 05:14:23.119857,2019-10-31 05:14:23.135480
12,2019-10-31 05:14:23.135480,2019-10-31 05:14:23.151102
13,2019-10-31 05:14:23.151102,2019-10-31 05:14:23.166721
14,2019-10-31 05:14:23.166721,2019-10-31 05:14:23.166721
15,2019-10-31 05:14:23.166721,2019-10-31 05:14:23.182342
16,2019-10-31 05:14:23.182342,2019-10-31 05:14:23.197965
17,2019-10-31 05:14:23.197965,2019-10-31 05:14:23.213585
18,2019-10-31 05:14:23.213585,2019-10-31 05:14:23.229241
19,2019-10-31 05:14:23.229241,2019-10-31 05:14:23.244830
